geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_SfmbtKD_v_toySfmbtKD_change
Ilp8	503.550177768199	6.54999343655739	0.847888873093613	7.72506120130937	1.11799615357064e-14	7.28188161359012e-12	enriched in toy-SfmbtKD
Irk3	32.8417949520798	2.75615947806755	0.61203223387129	4.50329137181877	6.69090492718332e-06	0.000510704227645164	enriched in toy-SfmbtKD
Jon65Aiii	89.3607179499399	-3.73794288665404	1.04765446526901	-3.5679157685776	0.000359832131492927	0.00881662906401949	depleted in toy-SfmbtKD
Jon65Aiv	165.381396035694	-3.40109094765886	0.964503264103274	-3.52626172895429	0.000421470224179423	0.00975773481097859	depleted in toy-SfmbtKD
Kaz-m1	23.9793502772571	6.19282618011017	1.74544876669432	3.54798507883946	0.000388190212109945	0.0092005514208463	enriched in toy-SfmbtKD
Kif3C	6.04792556915333	-3.00880502166189	0.909754842810862	-3.30727013484821	0.00094209994837595	0.0178033201076074	depleted in toy-SfmbtKD
Kr	93.3714136097252	-1.82111649592909	0.572625511732915	-3.18029228285327	0.00147126574409491	0.0238775188036666	depleted in toy-SfmbtKD
LKRSDH	495.40517102839	-1.02442319566311	0.264070160892161	-3.87935991026815	0.000104731696771512	0.00370735028064375	depleted in toy-SfmbtKD
Mal-A1	5.8828195096431	7.29001707046816	2.4372925781306	2.991030759245	0.00278037485513039	0.0363740289294248	enriched in toy-SfmbtKD
Map205	6111.18697002089	1.01399797919423	0.087648178808327	11.5689566284279	5.91981705344164e-31	1.1567322522425e-27	enriched in toy-SfmbtKD
Mco1	19.9669286851276	2.0387128299375	0.677019691443608	3.01130507089144	0.00260127360719047	0.0349099493712238	enriched in toy-SfmbtKD
MtnA	224.799352429041	-1.23516342198824	0.309023822856648	-3.99698447378672	6.41545070573915e-05	0.00260078644792828	depleted in toy-SfmbtKD
Muc96D	200.783904596542	6.76532709065209	1.61769556884323	4.18207678932433	2.88858368506121e-05	0.0015011416278217	enriched in toy-SfmbtKD
ND4L	19.2570103277789	-1.44822575108177	0.390874161909861	-3.70509461153829	0.000211311842605824	0.00618118773131407	depleted in toy-SfmbtKD
NimC2	104.471620915024	-2.68708943111588	0.858671305554401	-3.12935743134092	0.00175189063151391	0.0270094167670596	depleted in toy-SfmbtKD
Nmdar2	13.2024201006992	3.41736835159984	1.05564134187667	3.23724376455796	0.00120690270171003	0.0209439420882896	enriched in toy-SfmbtKD
Npc1a	4209.92426529403	-1.05129266931635	0.181091933758561	-5.8052981571116	6.42515643770264e-09	1.42667678173534e-06	depleted in toy-SfmbtKD
Obp56e	13.2013830876894	20.5137797579778	3.68961904044238	5.55986391362458	2.69985084383839e-08	5.07260437390405e-06	enriched in toy-SfmbtKD
