geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toySfmbtKD_change
He	252.68386460732	-1.46577848543896	0.426961677609403	-3.43304460870114	0.000596843891533209	0.00795129578533923	depleted in toy-SfmbtKD
Hs3st-B	19.076315753267	-1.8572379104966	0.568738961490005	-3.26553662796537	0.00109256874280944	0.0127999417702676	depleted in toy-SfmbtKD
Hsp70Ba	23.2429460683068	3.93417790412327	1.34716613655741	2.92033610210599	0.00349654062145954	0.0316300984789356	enriched in toy-SfmbtKD
Hsp70Bb	34.645284004575	4.46374027232868	0.876479010199823	5.0928090922691	3.5279689514186e-07	1.57095427868884e-05	enriched in toy-SfmbtKD
Idgf3	338.038793775041	-1.34500157535498	0.391744098779558	-3.43336780195339	0.000596132827847642	0.00795129578533923	depleted in toy-SfmbtKD
Ilp2	12.5950081186264	-6.40096373915984	1.91930461751764	-3.33504316132924	0.000852861606398476	0.0105735816257952	depleted in toy-SfmbtKD
Ilp5	3.90508865197745	-6.18809100432389	2.17560165572596	-2.84431250915694	0.00445073711974703	0.038092065768237	depleted in toy-SfmbtKD
Ilp6	137.339887914479	-1.31376815380141	0.368403105519767	-3.56611585004927	0.00036231125734434	0.00541033452198526	depleted in toy-SfmbtKD
Ilp8	503.550177768199	7.2963372358473	0.841016439327894	8.67561785317566	4.11311188720038e-18	1.28631151745918e-15	enriched in toy-SfmbtKD
Ir68a	33.8589679920348	-1.08116359713724	0.343967914944277	-3.14321060239701	0.0016710556324765	0.0178050176814988	depleted in toy-SfmbtKD
Kaz-m1	23.9793502772571	5.08138494363415	1.63174352822984	3.11408309928863	0.00184517513533639	0.0192904673239714	enriched in toy-SfmbtKD
LKRSDH	495.40517102839	-1.20249751362309	0.262901227859366	-4.5739516829733	4.7861025686921e-06	0.000149640488124264	depleted in toy-SfmbtKD
Lcp1	912.312394845805	-3.25588577017673	1.06322639033216	-3.06226952207194	0.00219665565931113	0.0221771340781109	depleted in toy-SfmbtKD
Lcp4	695.281948458105	-3.95341239579709	1.06966421957237	-3.69593777510627	0.000219076629224785	0.00359911605155004	depleted in toy-SfmbtKD
Lcp65Af	43.6293948661165	1.45107898302855	0.416829429506357	3.48122968367908	0.000499117292830885	0.00693565071496251	enriched in toy-SfmbtKD
Lcp65Ag1	9.85413256810644	2.65136985330145	0.929744112692593	2.85171997015708	0.00434833886497552	0.0373755415327149	enriched in toy-SfmbtKD
Lcp9	71.3415434608224	-3.23299182899281	0.893772297709045	-3.61724327021519	0.000297757426224631	0.00462587430027552	depleted in toy-SfmbtKD
Lectin-galC1	10.2167235441624	-7.3428658993232	2.61449407328612	-2.80852267914842	0.00497693767959782	0.0413917385572537	depleted in toy-SfmbtKD
Mal-A1	5.8828195096431	8.28877987378638	2.4372925781306	3.40081447264894	0.000671854090591709	0.00874911010784119	enriched in toy-SfmbtKD
Mal-A6	11.4845705429731	-5.94680034153653	2.05569926603303	-2.89283575657071	0.00381780882398128	0.0337430894734388	depleted in toy-SfmbtKD
Muc96D	200.783904596542	6.3044927421219	1.59928897731831	3.94205977252046	8.07848365591878e-05	0.00158170702499936	enriched in toy-SfmbtKD
Obp56a	381.968466003221	3.27557520692494	0.712446266160831	4.59764527165828	4.27292685130659e-06	0.000134435953293467	enriched in toy-SfmbtKD
Obp99a	2425.00603853543	-1.07049969063081	0.174818483263724	-6.12349261156727	9.15461024020629e-10	8.3265341321149e-08	depleted in toy-SfmbtKD
Or19b	5.59088311098118	7.11233127431024	1.61005246327982	4.41745311815605	9.98707232839112e-06	0.000283061355936411	enriched in toy-SfmbtKD
