geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
Cpr64Aa	105.626014248757	3.75279509965911	1.33833197754258	2.80408386157666	0.0050459778542439	0.0358018908031684	enriched in toy-PcKD
Cpr65Ec	118.59142030439	1.64842283928712	0.347992441368917	4.73695012685514	2.16958530390812e-06	6.3463618021504e-05	enriched in toy-PcKD
Cpr66Cb	69.5624385999834	-6.75947673229246	0.993895258150753	-6.80099505139926	1.03898991509959e-11	9.76051102934907e-10	depleted in toy-PcKD
Cpr92A	85.8098575055258	-3.50391780739427	0.350530173506322	-9.99605190145229	1.58594384520923e-23	8.60815075983012e-21	depleted in toy-PcKD
Cpr97Ea	335.740580902187	-2.06886235027852	0.275280781012732	-7.51546236779541	5.67101479278695e-14	8.14791390081301e-12	depleted in toy-PcKD
Cpr97Eb	16.5088310445825	-2.31345714112517	0.717895616764322	-3.22255365139616	0.00127053369050598	0.0126535312499933	depleted in toy-PcKD
Cralbp	605.060574621011	-1.29758402197466	0.145822684861221	-8.89836874975633	5.66734559335692e-19	1.73031145147179e-16	depleted in toy-PcKD
CrzR	29.9676049629052	1.64823207973092	0.529786795063659	3.11112337092673	0.00186377055214946	0.0170177927985983	enriched in toy-PcKD
Cyp18a1	188.215191378864	2.79821339507478	0.495999302572699	5.64156719689064	1.68509249528693e-08	8.4862647829656e-07	enriched in toy-PcKD
Cyp4ac1	59.3528315425291	-2.00447986494384	0.647451839829878	-3.09595207184913	0.0019618206879464	0.0176478406666545	depleted in toy-PcKD
Cyp4g1	95.4480204862882	-6.74097412578516	1.54205099256794	-4.37143399166041	1.23433168053696e-05	0.000273456247592883	depleted in toy-PcKD
Cyp4p2	120.033470087579	3.79349184825662	1.10899439386143	3.42065917488363	0.000624695667627054	0.00730931338049858	enriched in toy-PcKD
Cyp6d2	110.449108637977	1.90103942791766	0.505584400623289	3.76008323352944	0.000169856833426239	0.00250679949029358	enriched in toy-PcKD
Cyp6g2	322.749472006734	-2.3902571777577	0.625293273064277	-3.82261777108867	0.000132042378132487	0.00203158115646361	depleted in toy-PcKD
DCX-EMAP	52.4944697288139	1.19204878438341	0.297322975522212	4.00927234866298	6.09061384393804e-05	0.00106259459384419	enriched in toy-PcKD
