geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toySfmbtKD_change
Dhc98D	17.8134456753087	2.85695846727725	0.624526235140399	4.57460120411912	4.77127931447993e-06	0.000204878324211896	enriched in toy-SfmbtKD
Dr	571.339551147422	-1.46747627812238	0.466410379375399	-3.14631994272422	0.0016533903055468	0.0256467752046446	depleted in toy-SfmbtKD
Dscam4	692.517667276869	1.02356378537865	0.178056285363382	5.74854059933763	9.00170327046877e-09	6.98155358302636e-07	enriched in toy-SfmbtKD
E(spl)mgamma-HLH	1842.94513046963	1.13602820907329	0.1367836995502	8.30528939346583	9.95764481708136e-17	2.93018342337938e-14	enriched in toy-SfmbtKD
Eo	10.1984546465693	-4.35528403317321	1.20123670572619	-3.62566679190866	0.000288216796741822	0.00661378222798608	depleted in toy-SfmbtKD
FucTA	34.3863695513269	1.75896586831748	0.568032665099497	3.09659281303722	0.00195758568981033	0.0287536391714674	enriched in toy-SfmbtKD
Gbeta5	174.628790333891	1.34272449747349	0.204161104003487	6.57678897274457	4.80716262414446e-11	5.93773605611918e-09	enriched in toy-SfmbtKD
Gld	575.08221438506	-1.21921215562434	0.347202512999668	-3.51153033165259	0.000445534617647642	0.00936465094446356	depleted in toy-SfmbtKD
Gr64a	46.0126929533135	-8.78615998617234	1.23439868389216	-7.11776519274055	1.0969103050209e-12	1.89217027616106e-10	depleted in toy-SfmbtKD
Gr64f	8.95970555349544	-6.89043890882442	1.38291985679132	-4.98252944665338	6.27584364312362e-07	3.25335832380579e-05	depleted in toy-SfmbtKD
GstE14	262.034557484033	-2.30656783737195	0.665744528897959	-3.46464407479267	0.000530933658607618	0.0107093934798455	depleted in toy-SfmbtKD
HP1D3csd	80.7599070818344	5.25856725583281	0.518769203640537	10.1366218714027	3.8001422423448e-24	2.37627644591623e-21	enriched in toy-SfmbtKD
Hs3st-B	19.076315753267	-1.87444202505741	0.589364425530507	-3.18044650111035	0.00147048288082805	0.0236329460032288	depleted in toy-SfmbtKD
Hsp70Bb	34.645284004575	6.10661902091303	1.1538971376749	5.29216931174461	1.20873905656344e-07	7.37404528104708e-06	enriched in toy-SfmbtKD
Idgf3	338.038793775041	-2.03267215401097	0.392424271945888	-5.17978193329299	2.22145433562214e-07	1.29218898999416e-05	depleted in toy-SfmbtKD
Ir40a	10.2084939788291	2.36900867290766	0.712114898087786	3.3267225264758	0.000878738264818633	0.0160234004180514	enriched in toy-SfmbtKD
Iris	11.2060055982868	2.46859865247131	0.774632704535557	3.18679890226349	0.00143856758433292	0.0231826091009159	enriched in toy-SfmbtKD
Jon65Aiii	89.3607179499399	-3.64272117391369	1.04846826067968	-3.47432660627445	0.000512137243597639	0.0104570063718253	depleted in toy-SfmbtKD
Jon65Aiv	165.381396035694	-3.04754588597686	0.965463309941868	-3.15656312839102	0.00159640327154706	0.0250738064863868	depleted in toy-SfmbtKD
Kr	93.3714136097252	-3.41403553349837	0.565324995979139	-6.03906701062331	1.5500786677918e-09	1.4098670064779e-07	depleted in toy-SfmbtKD
Lcp1	912.312394845805	-3.3247706629443	1.06333548052419	-3.12673725634105	0.001767578182327	0.0269582617594232	depleted in toy-SfmbtKD
Lcp4	695.281948458105	-3.70785621422314	1.06983907872226	-3.4658074171786	0.000528641790985094	0.0107066014550726	depleted in toy-SfmbtKD
Lcp65Ac	50.527973178072	-3.39371450252626	1.04171008415123	-3.25783013350727	0.00112267587064943	0.019299608394927	depleted in toy-SfmbtKD
Lcp65Af	43.6293948661165	2.14855720752482	0.445589912240253	4.82182641147038	1.42249712506493e-06	6.84234795013205e-05	enriched in toy-SfmbtKD
Lcp9	71.3415434608224	-2.89761018782107	0.896384708345754	-3.23255200679238	0.00122689801167097	0.0206651761056701	depleted in toy-SfmbtKD
Lim3	182.477742661027	1.30401562068308	0.236340863529526	5.51752075882627	3.43815482648634e-08	2.35607801636958e-06	enriched in toy-SfmbtKD
Lst	115.177625060113	-1.56111359027342	0.530273664065526	-2.94397722546619	0.00324023842484225	0.0422667346030596	depleted in toy-SfmbtKD
LysE	8.32734881511665	-4.78037295717863	1.48704957516063	-3.21466952886374	0.00130594774687598	0.0216683369941861	depleted in toy-SfmbtKD
Map205	6111.18697002089	1.07521323967063	0.0878977984039241	12.2325389167271	2.08323780294479e-34	1.73689951820522e-31	enriched in toy-SfmbtKD
MsR1	14.8256828749879	-2.19609757040612	0.704064724856323	-3.11917000365879	0.00181361287047413	0.0273271035679121	depleted in toy-SfmbtKD
Muc26B	22.9384360642505	8.90181333039161	2.32641594724421	3.82640659807048	0.000130027453443048	0.00347485560911209	enriched in toy-SfmbtKD
Muc96D	200.783904596542	7.98733013791884	1.66583115093918	4.79480176212077	1.62835776160678e-06	7.68477330418671e-05	enriched in toy-SfmbtKD
Nnf1b	72.600139777923	1.11971708980321	0.249546926325163	4.48700012575674	7.22330320296641e-06	0.000285648808480944	enriched in toy-SfmbtKD
Npc2b	169.448215104401	-1.71609534216863	0.562154410382062	-3.05271169357597	0.002267837080802	0.0321956899669982	depleted in toy-SfmbtKD
Obp56b	3.67151622969634	-5.29556160492597	1.72469746473573	-3.07042928583268	0.00213751296208873	0.0306387065697676	depleted in toy-SfmbtKD
Obp83ef	9.93836160629694	-5.28060688967729	1.83019839010694	-2.88526474409627	0.00391084632091742	0.0483543533256445	depleted in toy-SfmbtKD
