geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyScmKD_change
CR43730	35.2667573914557	-2.10873632882397	0.551190156114899	-3.82578735383727	0.000130354778869952	0.00114074044165643	depleted in toy-ScmKD
CR43910	2.33708980835987	-4.33069306076805	1.73640871191036	-2.49405167750139	0.0126294155802722	0.0498279202272511	depleted in toy-ScmKD
CR43944	57.3064163742842	-2.52461774411766	0.368907980644718	-6.84348909911231	7.72872084568988e-12	3.16243558041412e-10	depleted in toy-ScmKD
CR44024	177.286720857806	-2.13973066108256	0.346293817375249	-6.17894560549983	6.45311227852156e-10	1.92242203732828e-08	depleted in toy-ScmKD
CR44029	47.0208040117658	-2.59956506349877	0.511649250170922	-5.08075612859855	3.75935482835045e-07	6.73149432939674e-06	depleted in toy-ScmKD
CR44042	124.065836380131	-1.25521548413691	0.24361912292297	-5.15236845563142	2.57217035108978e-07	4.85468187885865e-06	depleted in toy-ScmKD
CR44054	10.0534966179563	-2.30933091101238	0.820816392498689	-2.81345612991771	0.00490120733710604	0.0238569455651421	depleted in toy-ScmKD
CR44119	48.2247615708903	-1.10683499303025	0.389463658764738	-2.84194678533242	0.00448389752378246	0.0222179879667083	depleted in toy-ScmKD
CR44291	38.9408393557324	1.71718369285508	0.37021544401228	4.63833619215012	3.51225143123103e-06	4.88797164437883e-05	enriched in toy-ScmKD
CR44299	10.2154143152184	-2.73773616597577	0.791214445124886	-3.46016959478495	0.000539835273364016	0.00383634632868933	depleted in toy-ScmKD
CR44320	15.2308746726401	2.26264148337094	0.769615962129648	2.9399617402813	0.00328252776436093	0.0172960152573847	enriched in toy-ScmKD
CR44368	96.7653218870812	1.3389864763086	0.219603895399271	6.09728016834189	1.07888335308145e-09	3.09624743110362e-08	enriched in toy-ScmKD
CR44498	18.7677540725656	-2.5819915000707	0.669970408271558	-3.85388887060239	0.000116256379105211	0.00103641325202305	depleted in toy-ScmKD
CR44552	12.2951095569883	-2.82506565978343	1.03759486913589	-2.72270588822027	0.00647496732543908	0.0296180273947486	depleted in toy-ScmKD
CR44564	10.9585035867571	-3.28740133036141	0.994403621723201	-3.30590241079841	0.000946710540958756	0.00613283420936485	depleted in toy-ScmKD
CR44660	3.39202066393996	-5.93028044782238	1.61656338079036	-3.66844908049507	0.000244026281233792	0.00194238244371123	depleted in toy-ScmKD
CR44743	4.77889129671543	-4.50263460102755	1.42219648662722	-3.16597224319241	0.00154565541963047	0.00931037407741757	depleted in toy-ScmKD
CR44744	5.2201520848954	-4.1496025664184	1.50411335053303	-2.7588363370007	0.00580075782881315	0.0272846601961463	depleted in toy-ScmKD
CR44779	7.26916709136534	-4.68296942416009	1.64888846466966	-2.84007652700651	0.00451027123970545	0.0223064642284772	depleted in toy-ScmKD
CR44811	48.0908951229543	-3.19201261661351	0.662635560025428	-4.81714657222896	1.45625717757931e-06	2.26324835832986e-05	depleted in toy-ScmKD
CR44831	28.2774036396369	-1.41128660631583	0.44173728428841	-3.19485507905284	0.0013990107131607	0.00861510306742982	depleted in toy-ScmKD
CR44899	2.42255427293739	-4.66781420066727	1.56032485912242	-2.9915656174911	0.00277550882679512	0.0151266675133605	depleted in toy-ScmKD
CR44922	69.9472643516325	-1.68360798963898	0.422793023367597	-3.98210920376319	6.83063800740648e-05	0.000658848371340542	depleted in toy-ScmKD
CR45000	9.44301741804272	-1.90863259771565	0.75308501039134	-2.53441852032592	0.0112634117789048	0.045606586155403	depleted in toy-ScmKD
CR45018	41.7437815732186	-1.11415441112262	0.374286160758736	-2.97674487580319	0.00291326326568597	0.0157544825544969	depleted in toy-ScmKD
CR45045	4.59544945557873	-6.29222551804951	2.05960584031211	-3.05506296151111	0.00225013279635997	0.0127751441961359	depleted in toy-ScmKD
CR45143	43.0351608084823	1.02947156341516	0.358488188854439	2.87170287731059	0.00408266627952708	0.0206498934225235	enriched in toy-ScmKD
CR45185	87.7013525376294	-1.95080860505405	0.317559116199411	-6.14313526376313	8.09083268823413e-10	2.36735956450426e-08	depleted in toy-ScmKD
CR45232	125.274871708114	-4.22176779330192	0.431091480477947	-9.79320627867961	1.20415630904831e-22	1.80193390532586e-20	depleted in toy-ScmKD
CR45270	59.8510920217534	-1.16461889244821	0.340649962910535	-3.41881408850786	0.000628946829046603	0.00436305830083653	depleted in toy-ScmKD
CR45479	34.4471998982465	-1.74542941547022	0.519447525607359	-3.36016503963398	0.000778959243680224	0.0052271608440425	depleted in toy-ScmKD
CR45485	55.7747881929863	-1.5072713420651	0.356192450554507	-4.23162068628528	2.32013446341126e-05	0.000259374690546776	depleted in toy-ScmKD
CR45517	58.7049614013361	-1.90205658062322	0.329707815797993	-5.76891565648714	7.97832200332799e-09	1.97105950435992e-07	depleted in toy-ScmKD
CR45600	311.211042443348	-2.330230750043	0.221026232019259	-10.5427791477708	5.4853498583274e-26	1.14918079531959e-23	depleted in toy-ScmKD
CR45732	34.7264301132886	-3.46032928447327	0.578714739599024	-5.97933497748968	2.24050404296285e-09	6.17612627632522e-08	depleted in toy-ScmKD
CR45822	213.810291331476	-1.26931597569376	0.203755207107824	-6.22961245364424	4.67590419376992e-10	1.42384001249244e-08	depleted in toy-ScmKD
CR45835	156.830571438051	-1.00204792850853	0.249169812164423	-4.02154626920573	5.7817347829298e-05	0.000569742914874785	depleted in toy-ScmKD
CR45923	24.7275241245004	2.76321568348669	0.696390238757898	3.96791271574288	7.25048777182275e-05	0.000693955405538669	enriched in toy-ScmKD
CR45973	40.3335647723697	-1.65438144927501	0.490299950028116	-3.37422316518722	0.000740243297869305	0.00500907528758461	depleted in toy-ScmKD
CR46003	47.13269819837	-2.11306449237827	0.576484043683915	-3.66543448258362	0.000246919021041189	0.00196093763867055	depleted in toy-ScmKD
