geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_SfmbtKD_change
CG3822	25.6866919383739	-4.20967146053616	1.27327368617114	-3.30617957965899	0.000945774520482601	0.00773887526391542	depleted in SfmbtKD
CG3880	437.908751059427	-1.04850740293253	0.148165133996089	-7.0766136043869	1.47719663514769e-12	1.47267460463193e-10	depleted in SfmbtKD
CG4133	159.711928129864	1.13012414557324	0.228467142497865	4.94655000809929	7.55403278417637e-07	2.04440167039898e-05	enriched in SfmbtKD
CG4151	19.4690262496583	8.36484975238969	3.12792188614967	2.67425148608376	0.00748962632854766	0.037953137567381	enriched in SfmbtKD
CG42299	9.39715440229689	2.81527262286189	0.905800041445396	3.10805088766559	0.00188325637939793	0.0132465189537205	enriched in SfmbtKD
CG42392	4.45441746751943	3.12353094787486	1.20793916839727	2.58583464266603	0.00971435220581985	0.0462520570423294	enriched in SfmbtKD
CG42460	60.7328463967196	4.81585396923391	1.13969477768016	4.22556465428097	2.38342379160789e-05	0.000381113755221098	enriched in SfmbtKD
CG4259	148.598553120396	1.08400383801993	0.413881370815763	2.61911725063476	0.00881576406675723	0.0428934337311843	enriched in SfmbtKD
CG42694	55.5658531284146	1.30567769088215	0.421992336185615	3.09407915481158	0.00197424806027295	0.0137088866729685	enriched in SfmbtKD
CG42717	8.33178311143388	6.13635870236035	2.38398241297063	2.57399495439816	0.0100531739285871	0.0475409047832992	enriched in SfmbtKD
CG42854	24.9763187011189	4.34877196730623	0.709730012790067	6.12736095266774	8.93486223138498e-10	5.19604785718043e-08	enriched in SfmbtKD
CG43338	83.3690271444021	3.88930949375841	0.540746727764459	7.19247901848151	6.36253473634728e-13	6.83098509605636e-11	enriched in SfmbtKD
CG43366	1411.34979210747	1.10027316361179	0.254009022524204	4.33163024162635	1.4800935366162e-05	0.000253633945924901	enriched in SfmbtKD
CG43446	30.759118937472	1.37808793320549	0.531628726757909	2.59219990162993	0.00953643411986561	0.0456049737401307	enriched in SfmbtKD
CG43679	52.5145949089827	4.38671527020972	1.51459556323496	2.89629481076805	0.0037759748529961	0.0223719068003468	enriched in SfmbtKD
CG43729	44.2247514412427	-1.55689852462795	0.411324016379167	-3.78509025155675	0.000153652805958418	0.00173748601182146	depleted in SfmbtKD
CG4382	387.324159271292	-9.33562191158112	1.37698937606099	-6.77973416053984	1.20397212385658e-11	9.64164561481872e-10	depleted in SfmbtKD
CG43861	713.369034554315	1.32654004915721	0.165261944320197	8.02689363612369	9.99716872689825e-16	1.68400583554821e-13	enriched in SfmbtKD
CG43897	260.350446699366	-1.65431690641937	0.327961927773195	-5.04423460873005	4.55340337002666e-07	1.31617606287457e-05	depleted in SfmbtKD
CG44013	33.5048129329497	-9.57522678556088	1.34314878610124	-7.12893976054202	1.01144984906170e-12	1.04019631845609e-10	depleted in SfmbtKD
CG44098	11.320905552088	-4.08657797352944	1.39877214708511	-2.92154657357556	0.0034829819654317	0.0209278805672003	depleted in SfmbtKD
CG44245	347.064949700755	-1.0325433042528	0.298323443504322	-3.46115374683198	0.000537865536632749	0.00482991387215254	depleted in SfmbtKD
CG45105	263.511007042222	1.25901246022635	0.182417384904647	6.90182276697178	5.13394643764417e-12	4.43881917661801e-10	enriched in SfmbtKD
CG4666	97.5185781870646	1.15876313142089	0.438228567076656	2.64419807031475	0.00818847240326682	0.0405717124004431	enriched in SfmbtKD
CG4757	14.3647556486208	-8.59315738737021	2.16060398818378	-3.97720148364332	6.97310782565506e-05	0.000912011558991297	depleted in SfmbtKD
CG4793	73.5011189593443	2.04079223540121	0.619137683875648	3.29618482051739	0.000980075161210079	0.00796145832809651	enriched in SfmbtKD
CG4835	7.65799561790281	2.38794029773855	0.858252490754212	2.78232842137176	0.00539703942960345	0.0295732334420784	enriched in SfmbtKD
CG4950	317.614593528582	1.76294628643486	0.39095707080912	4.50930912385417	6.50390819372954e-06	0.000127497038710367	enriched in SfmbtKD
CG5002	53.33936351287	2.17730383516084	0.479047226774033	4.5450713697334	5.49166431914343e-06	0.000110171581926142	enriched in SfmbtKD
CG5023	86.9493810148223	-1.72714453811009	0.481378479183438	-3.58791390308899	0.00033333431647094	0.00326293186077387	depleted in SfmbtKD
CG5065	453.630985337243	1.23652371564477	0.378351137837845	3.26819082059884	0.00108237363494032	0.00863164578296316	enriched in SfmbtKD
CG5756	164.332852321134	1.25093175567446	0.214118116609163	5.8422508822914	5.15001672289133e-09	2.44250793119652e-07	enriched in SfmbtKD
